sample,factor,vintage,cultivar,groups
PN14_0_1_0,green,2014,PN,PN_time0_2014
PN14_0_2_0,green,2014,PN,PN_time0_2014
PN14_0_3_0,green,2014,PN,PN_time0_2014
PN14_A_1_1,green,2014,PN,PN_time1_2014
PN14_A_1_10,mature,2014,PN,PN_time10_2014
PN14_A_1_11,mature,2014,PN,PN_time11_2014
PN14_A_1_2,green,2014,PN,PN_time2_2014
PN14_A_1_3,green,2014,PN,PN_time3_2014
PN14_A_1_4,green,2014,PN,PN_time4_2014
PN14_A_1_5,mature,2014,PN,PN_time5_2014
PN14_A_1_6,mature,2014,PN,PN_time6_2014
PN14_A_1_7,mature,2014,PN,PN_time7_2014
PN14_A_1_8,mature,2014,PN,PN_time8_2014
PN14_A_1_9,mature,2014,PN,PN_time9_2014
PN14_A_2_1,green,2014,PN,PN_time1_2014
PN14_A_2_10,mature,2014,PN,PN_time10_2014
PN14_A_2_11,mature,2014,PN,PN_time11_2014
PN14_A_2_2,green,2014,PN,PN_time2_2014
PN14_A_2_3,green,2014,PN,PN_time3_2014
PN14_A_2_4,green,2014,PN,PN_time4_2014
PN14_A_2_5,mature,2014,PN,PN_time5_2014
PN14_A_2_6,mature,2014,PN,PN_time6_2014
PN14_A_2_7,mature,2014,PN,PN_time7_2014
PN14_A_2_8,mature,2014,PN,PN_time8_2014
PN14_A_2_9,mature,2014,PN,PN_time9_2014
PN14_A_3_1,green,2014,PN,PN_time1_2014
PN14_A_3_10,mature,2014,PN,PN_time10_2014
PN14_A_3_11,mature,2014,PN,PN_time11_2014
PN14_A_3_2,green,2014,PN,PN_time2_2014
PN14_A_3_3,green,2014,PN,PN_time3_2014
PN14_A_3_4,green,2014,PN,PN_time4_2014
PN14_A_3_5,mature,2014,PN,PN_time5_2014
PN14_A_3_6,mature,2014,PN,PN_time6_2014
PN14_A_3_7,mature,2014,PN,PN_time7_2014
PN14_A_3_8,mature,2014,PN,PN_time8_2014
PN14_A_3_9,mature,2014,PN,PN_time9_2014
