,CS_time0_2012,CS_time0_2013,CS_time0_2014,CS_time10_2012,CS_time10_2013,CS_time10_2014,CS_time11_2012,CS_time11_2013,CS_time11_2014,CS_time12_2012,CS_time12_2013,CS_time12_2014,CS_time13_2013,CS_time1_2012,CS_time1_2013,CS_time1_2014,CS_time2_2012,CS_time2_2013,CS_time2_2014,CS_time3_2012,CS_time3_2013,CS_time3_2014,CS_time4_2012,CS_time4_2013,CS_time4_2014,CS_time5_2012,CS_time5_2013,CS_time5_2014,CS_time6_2012,CS_time6_2013,CS_time6_2014,CS_time7_2012,CS_time7_2013,CS_time7_2014,CS_time8_2012,CS_time8_2013,CS_time8_2014,CS_time9_2012,CS_time9_2013,CS_time9_2014,PN_time0_2012,PN_time0_2013,PN_time0_2014,PN_time10_2013,PN_time10_2014,PN_time11_2014,PN_time1_2012,PN_time1_2013,PN_time1_2014,PN_time2_2012,PN_time2_2013,PN_time2_2014,PN_time3_2012,PN_time3_2013,PN_time3_2014,PN_time4_2012,PN_time4_2013,PN_time4_2014,PN_time5_2012,PN_time5_2013,PN_time5_2014,PN_time6_2012,PN_time6_2013,PN_time6_2014,PN_time7_2012,PN_time7_2013,PN_time7_2014,PN_time8_2012,PN_time8_2013,PN_time8_2014,PN_time9_2012,PN_time9_2013,PN_time9_2014
GTP-CYCLOHYDRO-I-RXN__cyto,0.361483978,0.361114928,0.361483978,0.165517241,0.165517241,0.165517241,0.165517241,0.165517241,0.165517241,0.165517241,0.165517241,0.165517241,0.165517241,0.361483978,0.361483978,0.361483978,0.361483978,0.361483978,0.361114928,0.361483978,0.361483978,0.361483978,0.361483978,0.361483978,0.361483978,0.361483978,0.361483978,0.361483978,0.361483978,0.361483978,0.361483978,0.165517241,0.165517241,0.165517241,0.165517241,0.165517241,0.165517241,0.165517241,0.165517241,0.165517241,0.361483978,0.361114928,0.361483978,0.165517241,0.165517241,0.165517241,0.361483978,0.361483978,0.361483978,0.361483978,0.361483978,0.361483978,0.361483978,0.361483978,0.361483978,0.361483978,0.361483978,0.361483978,0.361483978,0.165517241,0.361483978,0.165517241,0.165517241,0.165517241,0.165517241,0.165517241,0.165517241,0.165517241,0.165517241,0.165517241,0.165517241,0.165517241,0.165517241
4-COUMARATE--COA-LIGASE-RXN__pero,0.281891327,0.281902755,0.281891327,0.250004731,0.250004731,0.250004731,0.250004731,0.250004731,0.250004731,0.250004731,0.250004731,0.250004731,0.250004731,0.281891327,0.281891327,0.281891327,0.281891327,0.281891327,0.281902755,0.281891327,0.281891327,0.281891327,0.281891327,0.281891327,0.281891327,0.281891327,0.281891327,0.281891327,0.281891327,0.281891327,0.281891327,0.250004731,0.250004731,0.250004731,0.250004731,0.250004731,0.250004731,0.250004731,0.250004731,0.250004731,0.281891327,0.281902755,0.281891327,0.250004731,0.250004731,0.250004731,0.281891327,0.281891327,0.281891327,0.281891327,0.281891327,0.281891327,0.281891327,0.281891327,0.281891327,0.281891327,0.281891327,0.281891327,0.281891327,0.250004731,0.281891327,0.250004731,0.250004731,0.250004731,0.250004731,0.250004731,0.250004731,0.250004731,0.250004731,0.250004731,0.250004731,0.250004731,0.250004731
SULFATE-ADENYLYLTRANS-RXN__chlo,69.35953086,69.4088006,69.35953086,49.93990052,48.84144678,49.93990052,49.90380304,49.90380304,49.90380304,49.92411491,49.90380304,49.90380304,49.90380304,69.35953086,69.35953086,69.35953086,69.35953086,69.35953086,69.4088006,69.35953086,69.35953086,69.35953086,69.16366544,69.35953086,69.16366544,69.16366544,69.16366544,69.16366544,68.35045086,69.16366544,69.16366543,48.84144678,48.84144678,48.84144678,48.84144678,48.84144678,48.84144678,48.84144678,49.93990052,48.84144678,69.35953086,69.4088006,69.35953086,49.90380304,49.93990052,49.93990052,69.35953086,69.35953086,69.35953086,69.35953086,69.35953086,69.35953086,69.35953086,69.35953086,69.35953086,69.16366544,69.16366544,69.35953086,69.16366544,49.93990052,69.35953086,49.93990052,49.93990052,49.93990052,49.93990052,49.93990052,49.93990052,49.93990052,49.93990052,49.93990052,49.93990052,49.93990052,49.93990052
RXN0-308__chlo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO1000051__cyto__extr,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
TO1000051__er__cyto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO1000051__vacu__cyto,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
TO1000051__chlo__cyto,0.533333333,0.533333334,0.533333334,0.342857143,0.342857143,0.342857143,0.342857143,0.342857143,0.342857143,0.342857143,0.342857143,0.342857143,0.342857143,0.533333333,0.533333333,0.533333333,0.533333333,0.533333333,0.533333334,0.533333333,0.533333333,0.533333333,0.533333333,0.533333334,0.533333334,0.533333334,0.533333333,0.533333334,0.528258052,0.533333334,0.533333333,0.342857143,0.342857143,0.342857143,0.342857143,0.342857143,0.342857143,0.342857143,0.342857143,0.342857143,0.533333333,0.533333333,0.533333334,0.342857143,0.342857143,0.342857143,0.533333333,0.533333333,0.533333334,0.533333333,0.533333333,0.533333333,0.533333333,0.533333334,0.533333334,0.533333334,0.533333334,0.533333334,0.533333334,0.342857143,0.533333334,0.342857143,0.342857143,0.342857143,0.342857143,0.342857143,0.342857143,0.342857143,0.342857143,0.342857143,0.342857143,0.342857143,0.342857143
TO0000229__cyto__extr,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
TO0000229__vacu__cyto,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
